time,no,review,score,read_volume,label
2022/6/30,36,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '趋势', '已成', '，', '还', '会涨', '。']",0.5,185,1
2022/6/30,37,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '进入', '主升浪', '，', '不', '做', 'Ｔ', '了', '目标价', '152']",0.0,593,1
2022/6/30,38,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '进入', '主升浪', '不', '做', 'Ｔ', '了']",0.0,170,1
2022/6/30,39,"['重庆', '啤酒', '6', '月', '30', '日', '盘中', '涨幅', '达', '5%']",1.0,217,1
2022/6/30,40,"['市场行情', '影响', '一点', '都', '没', '降下来', '，', '反正', '现在', '大家', '都', '开始', '关注']",0.0,164,1
2022/6/30,41,"['兄弟', '，', '顶住', '，', '距离', '第一', '目标', '还', '差', '0.001', '毫米', '！', '没', '看错', '你', '娃']",0.5,157,1
2022/6/30,42,"['下周', '周线', '就要', '接近', '零轴', '了', '，', '按', '技术', '来看', '也', '偏离', '五周线', '，', '下']",0.0,304,1
2022/6/30,44,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '买']",0.0,261,1
2022/6/30,45,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '一周', '前', '说准', '了', '吧', '，', '重庆', '啤比', '青岛', '空']",0.0,278,1
2022/6/30,47,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '九说', '了', '，', '今天', '重庆', '啤酒', '大涨', '，', '所以']",1.0,465,1
2022/6/30,48,"['疫情', '好转', '，', '吃喝玩乐', '有', '机会', '了']",2.0,153,-1
2022/6/30,49,"['160', '不是', '梦']",0.0,151,1
2022/6/30,50,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '干过', '板块']",0.0,161,-1
2022/6/30,51,"['重庆', '啤酒', '06', '月', '29', '日', '被', '沪', '股通', '减持', '40.39', '万股']",-1.0,258,1
2022/6/30,52,"['重庆', '啤酒', '：', '融资', '净', '买入', '2050.61', '万元', '，', '融资', '余额', '1.75', '亿元']",0.0,251,1
2022/6/29,53,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '$', '达意', '隆', '(', 'SZ002209', ')', '$', '达意', '隆', '均线', '粘']",0.0,235,1
2022/6/29,54,"['旅游', '起来', '带动', '餐饮', '，', '那', '啤酒', '不', '就', '起来', '？']",1.0,321,1
2022/6/29,55,"['业绩', '超预期', '，', '乌苏', '表现', '亮眼']",2.0,3782,1
2022/6/29,56,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '141.67', '拜托', '了']",0.0,773,1
2022/6/29,57,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '所有', '的', '啤酒', '都', '红', '了', '，', '你']",0.0,277,1
2022/6/29,59,['转发'],0.0,164,-1
2022/6/29,60,"['到处', '都', '有', '这个', '九鸡']",0.0,165,1
2022/6/29,61,"['冲高', '回本', '就', '走', '了', '，', '赚', '了', '点', '自动', '设置', '卖出']",0.0,159,-1
2022/6/29,62,"['市场', '风格', '跷跷板', '还是', '挺', '明显', '的', '，', '高', '景气', '受影响']",2.5,180,1
2022/6/29,63,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '看看', '青岛']",0.0,389,1
2022/6/29,64,"['现在', '白酒', '估值', '算是', '很', '有', '性价比', '了', '，', '加', '自选', '酒', 'ET']",0.0,158,1
2022/6/29,65,"['白酒', '发展', '的', '确定性', '还是', '有保障', '的', '，', '长期', '来看', '还']",1.0,167,1
2022/6/29,66,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '我', '也', '郁闷', '，', '买', '了', '你', '这么']",-1.0,293,-1
2022/6/29,67,"['市场行情', '影响', '一点', '都', '没', '降下来', '，', '反正', '现在', '大家']",0.0,163,1
2022/6/29,68,"['短期', '在', '酒', 'ET512690F', '上', '做', 'T', '我', '感觉', '难度', '还', '挺', '大', '的']",0.0,146,-1
2022/6/29,69,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '今天', '没', '了', '。']",0.0,163,-1
2022/6/29,70,"['重庆', '啤酒', '06', '月', '28', '日获', '沪', '股通', '增持', '8.23', '万股']",1.0,253,1
2022/6/29,71,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '趋势', '还', '在', '，', '继续', '持有']",0.0,169,1
2022/6/29,72,"['今天', '大跌']",-1.0,150,1
2022/6/29,73,"['重庆', '啤酒', '：', '融资', '净', '偿还', '238.15', '万元', '，', '融资', '余额']",-1.0,246,1
2022/6/29,74,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '141.08', '卖出', '一部分', '，', '会']",0.0,470,1
2022/6/29,75,"['砸盘', '，', '砸盘', '，', '砸盘', '。', '九姐', '已经', '全面', '撤退', '青岛', '啤']",1.0,3958,1
2022/6/28,76,"['九姐', '请', '再', '分析', '哈']",0.0,241,-1
2022/6/28,77,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '九鸡来', '了', '，', '明天', '跌', '。', '哪']",-1.0,463,-1
2022/6/28,78,"['明天', '应该', '要', '回调', '了']",-1.0,384,1
2022/6/28,79,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '九鸡', '到', '了', '，', '明天', '阴线', '。']",0.0,349,1
2022/6/28,80,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '明天', '要', '调整', '一下']",0.0,420,1
2022/6/28,81,"['今天', '进仓', '了', '，', '明天', '回调', '后', '再', '进', '。']",-1.0,168,1
2022/6/28,82,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '两天', '没看', '就', '从', '129', '冲到', '1']",0.0,157,1
2022/6/28,83,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '疫情', '防控', '政策', '放宽', '，', '大']",1.0,159,1
2022/6/28,84,"['150', '有', '看头']",0.0,150,1
2022/6/28,85,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '上升', '通道', '确立']",3.0,174,1
2022/6/28,86,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '牛']",0.0,152,1
2022/6/28,89,"['现在', '已经', '习惯', '市场', '的', '过山车', '了', '，', '越是', '震荡', '越是']",0.0,156,1
2022/6/28,90,"['下午', '开始', '干活']",0.0,150,-1
2022/6/28,91,"['孩儿', '们', '世界杯', '快来', '了', '，', '孩儿', '们', '一起', '喝啤酒', '庆祝']",0.0,190,1
2022/6/28,92,"['回调', '反弹', '的', '过程', '还是', '挺', '磨人', '的', '，', '但', '对于', '白酒', '这']",0.0,174,1
2022/6/28,93,"['全球', '对', '白酒', '高', '需求', '或', '将', '长期化', '，', '酒水', '需求量', '爆']",0.0,190,1
2022/6/28,94,"['投资', '白酒', '这块', '就是', '长期投资', '，', '可以', '理解', '为', '打持']",0.0,179,1
2022/6/28,95,"['高成长', '的', '板块', '上涨', '过程', '中', '难免', '回调', '，', '不过', '这种']",1.0,162,1
2022/6/28,96,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '明天', '高开', '直接', '过', '了', '410']",0.0,648,1
2022/6/28,97,"['重庆', '啤酒', '06', '月', '27', '日获', '沪', '股通', '增持', '45.38', '万股']",1.0,247,1
2022/6/28,98,"['重庆', '啤酒', '：', '融资', '净', '买入', '533.07', '万元', '，', '融资', '余额', '1.57', '亿元', '（']",0.0,270,1
2022/6/27,100,"['啤酒', '也', '还', '不错']",1.5,178,1
2022/6/27,101,"['这点', '量', '都', '大涨', '，', '看来', '还', '能', '涨', '了', '…', '…']",1.5,472,1
2022/6/27,102,"['139', '卖飞', '了']",0.0,416,-1
2022/6/27,103,"['重庆', '啤酒', '：', '调整', '1664', ' ', 'Blanc', '特许权', '使用', '费率', '至', '7%']",1.0,1379,1
2022/6/27,104,"['九姐', '请', '分析', '哈']",0.0,188,-1
2022/6/27,105,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '140', '破', '她']",0.0,480,1
2022/6/27,106,"['今', '收盘', '139.50']",0.0,305,-1
2022/6/27,107,"['重庆', '啤酒', '6', '月', '27', '日', '盘中', '涨幅', '达', '5%']",1.0,200,1
2022/6/27,109,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '软', '了', '，', '今天', '收盘', '过', '不了', '137', '[', '哭', ']', '[', '哭']",0.0,536,1
2022/6/27,110,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '放个量', '啊', '大哥']",0.0,407,1
2022/6/27,111,"['冲', '啊', '兄弟', '们', '目标', '170', '元']",0.0,188,1
2022/6/27,112,"['重庆', '啤酒', '：', '许可', '方', '嘉士伯', '啤酒厂', '提出', '全球', '1664', ' ', 'Blanc', '系列']",1.0,723,1
2022/6/27,113,"['大哥', '今天', '要', '上', '140', '[', 'OKOK', ']']",0.0,471,1
2022/6/27,115,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '青岛', '是', '你', '大哥', '啊', '[', '滴汗', ']']",0.0,210,1
2022/6/27,116,"['啤酒', '季节', '不干', '，', '兄弟', '们', '要', '等到', '冬天', '进嘛', '！']",0.0,202,1
2022/6/27,117,"['市场', '和', '消费者', '需求', '持续', '利好', '酒水', '板块', '，', '酒', 'ETF512690', '调整']",1.0,191,1
2022/6/27,118,"['白酒', '企业', '业绩', '持续', '向上', '，', '二', '季度初', '的', '市场', '稳中求进', '，', '酒', 'ET']",4.0,196,1
2022/6/27,119,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '真', '涨起来', '的', '时候', '，', '干', '不过', '青岛', '了']",0.0,184,1
2022/6/27,120,"['白酒', '类新粉', '一枚', '，', '酒', 'ETF512690', '位置', '低', '，', '价格', '也', '低', '，', '对于']",0.0,193,1
2022/6/27,121,"['高成长', '的', '板块', '上涨', '过程', '中', '难免', '回调', '，', '不过', '这种', '局势', '未稳', '的']",1.0,179,1
2022/6/27,122,"['白酒', '板块', '通过', '调整', '完成', '了', '业绩', '影响', '的', '消化', '，', '机构', '类', '配置', '的']",4.0,182,1
2022/6/26,124,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '飙升', '5000', '点', '，', '立帖', '为证']",1.0,195,1
2022/6/26,125,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '下半年', '5000', '点', '，', '立帖', '为证', '，', '不服', '不']",-1.0,209,1
2022/6/26,126,"['重庆', '啤酒', '本周', '融资', '净', '买入', '325.81', '万元', '，', '居', '酿酒', '行业', '板块', '第']",0.0,339,1
2022/6/26,127,"['重庆', '啤酒', '本周', '沪', '股通', '持股', '市值', '增加', '8479.14', '万元', '，', '居', '酿酒']",1.0,330,1
2022/6/25,128,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '九姐', '说', '今天', '140', '，', '你们', '信', '吗', '，', '就是']",0.0,1016,1
2022/6/25,129,"['重庆', '啤酒', '涨停', '过', '吗']",1.0,683,1
2022/6/25,130,"['垃圾', '玩意']",-1.0,387,-1
2022/6/25,131,"['重庆', '啤酒', '又', '要', '开启', '下跌', '行情', '了', '吧']",0.0,936,1
2022/6/25,133,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '真是', '个', '垃圾', '玩意']",-1.0,691,1
2022/6/25,134,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '怎么', '突然', '就', '软', '了']",0.0,551,1
2022/6/25,135,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$']",0.0,553,1
2022/6/25,136,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '你们', '都', '赚', '了', '，', '我', '还', '在', '等', '回本', '[', '捂脸', ']']",0.0,974,1
2022/6/25,137,"['大家', '都', '觉得', '夏季', '啤酒', '肯定', '是', '热点', '，', '但', '一定', '注意', '市场', '资金', '的']",1.0,541,1
2022/6/25,138,"['重庆', '啤酒', '06', '月', '24', '日', '被', '沪', '股通', '减持', '31.49', '万股']",-1.0,318,1
2022/6/25,139,"['重庆', '啤酒', '：', '融资', '净', '偿还', '705.33', '万元', '，', '融资', '余额', '1.52', '亿元', '（']",-1.0,354,1
2022/6/24,140,"['孩儿', '们', '世界杯', '快来', '了', '，', '孩儿', '一起', '喝啤酒', '庆祝', '一下']",0.0,522,1
2022/6/24,141,"['收盘', '133']",0.0,338,-1
2022/6/24,142,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '学学', '青岛', '发力', '冲', '3', '个点']",1.0,205,1
2022/6/24,143,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '青岛', '也', '买', '了', '，', '看', '夏天', '到底', '哪个', '好喝']",0.0,212,1
2022/6/24,144,"['加油', '！']",1.0,191,1
2022/6/24,146,"['现在', '白酒', '估值', '算是', '很', '有', '性价比', '了', '，', '加', '自选', '酒', 'ET512690F', '很']",0.0,220,1
2022/6/24,147,"['看', '业绩', '说话', '，', '底部', '震荡', '了', '那么', '长时间', '，', '也', '该', '蓄势待发', '了', '，']",0.0,212,1
2022/6/24,148,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '孩子', '咋', '了', '[', '坏', '笑', ']']",0.0,215,1
2022/6/24,149,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '发帖', '九姐', '别来', '重庆', '了', '一来', '就', '跌', '青岛']",-1.0,196,-1
2022/6/24,150,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '板块', '涨', '你', '不', '跟', '、', '板块', '跌', '你', '要争', '第一']",3.0,161,1
2022/6/24,151,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '九', '垃圾', '你', '出来']",-1.0,203,-1
2022/6/24,152,"['短期', '在', '酒', 'ET512690F', '上', '做', 'T', '我', '感觉', '难度', '还', '挺', '大', '的', '，', '但是', '长期']",0.0,199,1
2022/6/24,153,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '什么', '时候', '开始', '，', '你', '弱', '到', '板块', '都', '跑', '不']",0.0,192,-1
2022/6/24,154,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '兄弟', '们', '抄底', '了', '？']",0.0,631,1
2022/6/24,155,"['重庆', '啤酒', '06', '月', '23', '日获', '沪', '股通', '增持', '6.08', '万股']",1.0,287,1
2022/6/24,156,"['重庆', '啤酒', '：', '融资', '净', '买入', '1126.91', '万元', '，', '融资', '余额', '1.59', '亿元']",0.0,306,1
2022/6/23,157,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '大盘', '下半年', '姜', '直升', '5000', '点', '，', '立帖', '为']",0.0,199,1
2022/6/23,159,"['重庆', '啤酒', '调整', '基本', '到位', '，', '大家', '开始', '干活']",1.0,499,1
2022/6/23,160,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '调整', '中']",0.0,194,1
2022/6/23,161,"['重庆', '啤酒', '06', '月', '16', '日获', '沪', '股通', '增持', '21.7', '万股']",1.0,432,1
2022/6/23,162,"['唱空', '的', '不', '出来', '吼', '了', '，']",0.0,301,-1
2022/6/23,163,"['上涨', '无力', '，', '没', '希望', '了']",0.0,754,1
2022/6/23,164,"['之前', '看股', '吧', '某些', '人', '分析', '，', '还', '觉得', '挺', '有意思', '，', '怎么', '来个', '砸盘']",-0.75,434,-1
2022/6/23,165,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '真的', '是', '个']",0.0,175,-1
2022/6/23,166,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '又', '是', '倒数第一']",-1.0,185,1
2022/6/23,167,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '今天', '收', '十字星']",0.0,190,1
2022/6/23,169,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '你', '又', '行', '了', '是', '吗']",0.0,432,1
2022/6/23,171,"['128.1', '卖', '了', '你', '就', '涨', '，', '卄']",1.0,204,-1
2022/6/23,172,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '正常', '调整']",1.0,180,1
2022/6/23,173,"['九姐', '八姐', '的', '上', '一边', '去', '你', '看', '评论', '区', '哪', '有', '欢迎', '你', '的', '？']",0.0,496,-1
2022/6/23,174,['mmp'],0.0,233,-1
2022/6/23,176,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '九姐', '别来', '股评', '了', '你', '去', '青岛', '吧']",0.0,409,-1
2022/6/23,178,"['整个', '酒类', '行业', '天花板', '较高', '，', '酒', 'ETF512690', '估值', '低', '理所当然']",1.0,201,1
2022/6/23,179,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '60', '日', '均线', '～']",0.0,2125,1
2022/6/23,180,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '九姐', '，', '你', '砸', '错', '地方', '了', '，', '不是', '说好', '一']",0.0,221,1
2022/6/23,181,"['上周', '真的', '是', '血洗', '啊', '，', '只能', '说', '按照', '长时间', '投资', '的', '周期', '来看', '，']",-1.0,192,1
2022/6/23,182,"['砸', '的', '好', '，', '九姐', 'v5']",0.0,199,-1
2022/6/23,183,"['高成长', '的', '板块', '上涨', '过程', '中', '难免', '回调', '，', '不过', '这种', '局势', '未稳', '的']",1.0,194,1
2022/6/23,184,"['酒', 'ETF512690', '盘面', '受', '情绪', '影响', '比较', '大', '，', '但', '我', '认为', '对于', '优质']",3.0,183,-1
2022/6/23,186,"['重庆', '啤酒', '06', '月', '22', '日获', '沪', '股通', '增持', '16.73', '万股']",1.0,271,1
2022/6/23,187,"['重庆', '啤酒', '：', '融资', '净', '买入', '364.16', '万元', '，', '融资', '余额', '1.48', '亿元', '（']",0.0,278,1
2022/6/22,188,"['早盘', '预埋', '130.25', '全部', '卖出', '了', '，', '本想', '等', '回调', '但', '一直', '上攻', '，', '一']",-1.0,790,1
2022/6/22,189,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '重庆', '啤酒', '的', '票友', '们', '，', '我', '是', '青岛', '啤酒']",0.0,213,1
2022/6/22,190,"['华尔街', '九嘛批', '，', '滚出来', '，', '安慰', '下', '追高', '的', '散户']",0.0,788,-1
2022/6/22,191,"['股票', '有分歧', '很', '正常', '，', '你', '信', '就', '跟着', '买', '，', '不信', '就', '别买', '，', '下单', '那']",-1.0,233,1
2022/6/22,192,"['小九菜', '，', '出来', '复盘', '@', '华尔街', '九姐', ' ']",0.0,194,-1
2022/6/22,193,"['600132', ':', '重庆', '啤酒', '股份', '有限公司', '关于', '调整', '1664Blanc', '特许权']",1.0,985,1
2022/6/22,194,"['嘉士伯', '1664', ' ', 'Blanc', '系列产品', '特许权', '使用', '费率', '提升', '至', '7%']",2.0,727,1
2022/6/22,195,"['136.02', '分已', '清仓', '，', '静', '等', '127', '以下', '建仓']",-1.0,496,1
2022/6/22,196,"['[', '买入', ']', '[', '买入', ']', '[', '买入', ']', '[', '买入', ']', '[', '买入', ']', '[', '买入', ']', '[', '上涨', ']', '300']",1.0,201,1
2022/6/22,197,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '很', '明显', '的', '洗盘', '动作', '。']",2.0,434,1
2022/6/22,199,"['现在', '白酒', '估值', '算是', '很', '有', '性价比', '了', '，', '加', '自选', '酒', 'ET512690F', '很']",0.0,173,1
2022/6/22,200,"['白酒', '发展', '的', '确定性', '还是', '有保障', '的', '，', '长期', '来看', '还是', '值得信赖']",2.0,175,1
2022/6/22,201,"['短期', '在', '酒', 'ET512690F', '上', '做', 'T', '我', '感觉', '难度', '还', '挺', '大', '的', '，', '但是', '长期']",0.0,194,1
2022/6/22,202,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '扛不住', '板块']",-1.0,161,1
2022/6/22,203,"['兄弟', '，', '快', '下来', '130', '，', '我接', '几手']",0.0,170,1
2022/6/22,204,"['重庆', '啤酒', '06', '月', '21', '日获', '沪', '股通', '增持', '53.26', '万股']",1.0,246,1
2022/6/22,205,"['月线', '双针', '探底', '干', '就', '完', '了', '，', '看好', '180', '。']",1.0,197,1
2022/6/22,206,"['重庆', '啤酒', '：', '融资', '净', '偿还', '1172.24', '万元', '，', '融资', '余额', '1.44', '亿元']",-1.0,273,1
2022/6/22,207,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '看看', '吧', '！', '我', '是', '怎么', '评价', '的', '，', '画', '红线']",0.0,203,1
2022/6/22,208,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '当', '你们', '都', '觉得', '一个', '公告', '会', '利空', '时', '，']",-1.0,267,1
2022/6/21,210,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '明日', '必跌', '，', '今日', '山顶', '可跑', '。']",-1.0,518,1
2022/6/21,211,"['夏天', '来', '了', '～', '$', '青岛', '啤酒', '(', 'SH600600', ')', '$', '$', '重庆', '啤酒', '(', 'SH600132', ')', '$']",0.0,966,1
2022/6/21,212,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', 'T', '到', '天荒地老', '，', '股票', '越来越少']",0.0,839,-1
2022/6/21,214,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '天热', '了', '，', '喝点', '啤酒']",0.0,192,1
2022/6/21,215,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '再接再厉']",3.0,154,1
2022/6/21,216,"['这波', '到', '多少']",0.0,490,-1
2022/6/21,217,"['对不起', '，', '我', '是', '散户']",0.0,438,1
2022/6/21,218,"['每年', '六七', '月份', '啤酒', '绝对', '涨', '。']",3.0,495,1
2022/6/21,219,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '完', '了', '芭比', 'q', '了', '，', '重仓', '跑', '先']",0.0,385,1
2022/6/21,220,"['啥时候', '啤酒节']",0.0,369,-1
2022/6/21,221,"['市场行情', '影响', '一点', '都', '没', '降下来', '，', '反正', '现在', '大家', '都', '开始', '关注']",0.0,189,1
2022/6/21,222,"['现在', '白酒', '估值', '算是', '很', '有', '性价比', '了', '，', '加', '自选', '酒', 'ET512690F', '很']",0.0,183,1
2022/6/21,223,"['白酒', '发展', '的', '确定性', '还是', '有保障', '的', '，', '长期', '来看', '还是', '值得信赖']",2.0,173,1
2022/6/21,224,"['看', '业绩', '说话', '，', '底部', '震荡', '了', '那么', '长时间', '，', '也', '该', '蓄势待发', '了', '，']",0.0,178,1
2022/6/21,225,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '重大', '消息', '自己', '看', '[', '呲', '牙', ']']",0.0,221,1
2022/6/21,226,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '今天', '红', '了', '就', '加仓', '。', '否则', '就', '按兵不动']",-1.0,168,1
2022/6/21,227,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '能', '不能', '冲过去']",0.0,176,1
2022/6/21,228,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '起飞']",1.0,178,1
2022/6/21,229,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '今天', '可能']",0.0,193,1
2022/6/21,230,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '有没有', '技术', '分析', '来', '一波']",0.0,625,1
2022/6/21,231,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '第三次', '发起', '冲锋', '，', '结果', '拭目以待']",2.0,365,1
2022/6/21,232,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '发', '这么', '多', '公告', '干嘛', '，', '想', '表达', '什么', '？']",0.0,264,1
2022/6/20,233,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '让', '我', '觉得', '不安的', '是', '今天', '一下子发', '了']",-1.0,195,1
2022/6/20,234,"['下周', '吃', '大面', '，', '重庆', '啤酒', '二季度', '业绩', '有问题']",-1.0,1088,1
2022/6/20,235,"['为什么', '涨停', '了']",1.0,628,1
2022/6/20,236,"['$', '重庆', '啤酒', '(', 'SH600132', ')', '$', '加油', '啊', '，', '140', '的', '本', '[', '笑', '哭', ']']",1.0,611,1
2022/6/20,237,"['600132', ':', '重庆', '啤酒', '股份', '有限公司', '独立', '董事', '关于', '第十届', '董事']",1.0,312,1
2022/6/20,238,"['600132', ':', '重庆', '啤酒', '股份', '有限公司', '2022', '年', '第二次', '临时', '股东', '大']",0.0,322,1
2022/6/20,239,"['600132', ':', '重庆', '啤酒', '股份', '有限公司', '第十届', '董事会', '第二次', '会议']",0.0,327,1
2022/6/20,240,"['153', '的', '成本', '还', '不', '知道', '什么', '能', '回本', '呢', '，', '又', '没钱', '补']",0.0,767,1
2022/6/20,241,"['重庆', '啤酒', '走势', '跟', '前期', '策划', '一样', '，', '走出', '了', '教科书', '一般', '的', '斜', '三']",-1.0,689,1
